user_id;segment_id;segment_name;assigned_rewards
502996;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503014;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503042;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503054;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503064;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503071;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503078;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503091;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503125;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503126;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503143;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503146;1;Low-Value Minimal Engagement;Free hotel meal, 1 night free hotel with flight, Exclusive discounts
503151;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503165;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503167;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503175;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503192;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503202;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503244;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503263;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503272;1;Low-Value Minimal Engagement;Free hotel meal, 1 night free hotel with flight, Exclusive discounts
503274;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503277;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503284;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503291;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503312;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503319;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503342;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503345;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503348;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503353;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503379;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503415;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503418;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503435;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
503452;2;Budget Occasional Travelers;Free checked bag, Free hotel meal, 1 night free hotel with flight
503454;0;High-Value Occasional Travelers;1 night free hotel with flight, Exclusive discounts, No cancellation fees
